#SampleID	C0047-7E-1A_taxonomic_profile	C0052-7E-1A_taxonomic_profile	C0053-8E-1A_taxonomic_profile	C0058-4E-1A_taxonomic_profile	C0059-4E-1A_taxonomic_profile	C0106-6E-1A_taxonomic_profile	C0107-4E-1A_taxonomic_profile	C0123-3E-1A_taxonomic_profile	C0126-9E-1A_taxonomic_profile	C0127-7E-1A_taxonomic_profile	C0202-6E-1A_taxonomic_profile	C0237-4E-1A_taxonomic_profile	C0286-6E-1A_taxonomic_profile	C0296-6E-1A_taxonomic_profile	C0332-4E-1A_taxonomic_profile	C0469-2E-1A_taxonomic_profile	C0494-2E-1A_taxonomic_profile	C0623-1E-1A_taxonomic_profile	C0660-1E-1A_taxonomic_profile	C0672-1E-1A_taxonomic_profile	C0673-1E-1A_taxonomic_profile	C0679-1E-1A_taxonomic_profile	C0683-1E-1A_taxonomic_profile	C0686-1E-1A_taxonomic_profile	C0688-1E-1A_taxonomic_profile	C0694-1E-1A_taxonomic_profile	C0724-1E-1A_taxonomic_profile	C0725-1E-1A_taxonomic_profile	C0730-1E-1A_taxonomic_profile	C0735-1E-1A_taxonomic_profile	C0743-1E-1A_taxonomic_profile	C0767-1E-1A_taxonomic_profile	C0768-1E-1A_taxonomic_profile	C0784-1E-1A_taxonomic_profile	C0785-1E-1A_taxonomic_profile	C0788-1E-1A_taxonomic_profile	C0789-1E-1A_taxonomic_profile	C0799-1E-1A_taxonomic_profile	C0811-1E-1A_taxonomic_profile	C0825-1E-1A_taxonomic_profile	C0837-1E-1A_taxonomic_profile	C2002-3E-1A_taxonomic_profile	C2014-2E-1A_taxonomic_profile	C2018-3E-1A_taxonomic_profile	M0644-3E-1A_taxonomic_profile	M0647-2E-1A_taxonomic_profile	M0651-2E-1A_taxonomic_profile	M0652-3E-1A_taxonomic_profile
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense	0	0	0.00423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense|t__GCF_000420065	0	0	0.00423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	0	0	0	0	0	0.00551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	0	0	0	0	0	0.00551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	0	0	0	0	0	0.00551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa|t__Rothia_mucilaginosa_unclassified	0	0	0	0	0	0.00551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06361	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06361	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.43458	3.14318	1.01853	3.11404	5.79219	7.82537	30.81087	3.34958	1.77855	21.28257	12.65591	4.05506	0.38881	3.37245	0.60666	0.60618	14.32131	1.71705	4.23212	6.01444	3.93969	0.98456	1.54446	6.91816	65.62003	4.28262	22.30268	7.70198	14.2672	0	5.78667	85.7793	1.94505	8.65504	2.39473	2.51717	6.58764	70.60465	5.44767	7.26515	5.79384	15.02142	45.00857	17.12616	0.64165	2.5642	5.22637	0.22422
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.43458	3.14318	1.01853	3.11404	5.79219	7.82537	30.81087	3.34958	1.77855	21.28257	12.65591	4.05506	0.38881	3.37245	0.60666	0.60618	14.32131	1.71705	4.23212	6.01444	3.93969	0.98456	1.54446	6.91816	65.62003	4.28262	22.30268	7.70198	14.2672	0	5.78667	85.7793	1.94505	8.65504	2.39473	2.51717	6.58764	70.60465	5.44767	7.26515	5.79384	15.02142	45.00857	17.12616	0.64165	2.5642	5.22637	0.22422
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.43458	3.14318	1.01853	3.11404	5.79219	7.82537	30.81087	3.34958	1.77855	21.28257	12.65591	4.05506	0.38881	3.37245	0.60666	0.60618	14.32131	1.71705	4.23212	6.01444	3.93969	0.98456	1.54446	6.91816	65.62003	4.28262	22.30268	7.70198	14.2672	0	5.78667	85.7793	1.94505	8.65504	2.39473	2.51717	6.58764	70.60465	5.44767	7.26515	5.79384	15.02142	45.00857	17.12616	0.64165	2.5642	5.22637	0.22422
