"","sample","b. longum"
"387","M652.2F.1A_taxonomic_profile",0.55456
"388","M652.2F.2A_taxonomic_profile",0.63672
"389","M656.1F.1A_taxonomic_profile",2.59827
"390","M656.1F.2A_taxonomic_profile",2.45553
"391","M662.1F.1A_taxonomic_profile",1.13624
"392","M662.1F.2A_taxonomic_profile",0.98737
"395","M676.1F.1A_taxonomic_profile",0.02355
"397","M682.1F.1A_taxonomic_profile",0.49239
"398","M682.1F.2A_taxonomic_profile",0.38129
"399","M685.1F.1A_taxonomic_profile",2.63127
"400","M685.1F.2A_taxonomic_profile",2.36955
"404","C0047.7E.1A_taxonomic_profile",0.43458
"405","C0052.7E.1A_taxonomic_profile",1.84497
"406","C0053.8E.1A_taxonomic_profile",0.75455
"407","C0058.4E.1A_taxonomic_profile",1.30534
"408","C0059.4E.1A_taxonomic_profile",2.39733
"409","C0106.6E.1A_taxonomic_profile",4.66298
"410","C0107.4E.1A_taxonomic_profile",10.07352
"411","C0123.3E.1A_taxonomic_profile",1.69371
"412","C0126.9E.1A_taxonomic_profile",1.77855
"413","C0127.7E.1A_taxonomic_profile",6.33152
"414","C0202.6E.1A_taxonomic_profile",8.36563
"415","C0237.4E.1A_taxonomic_profile",0.76176
"416","C0286.6E.1A_taxonomic_profile",0.26318
"417","C0296.6E.1A_taxonomic_profile",0.6713
"418","C0332.4E.1A_taxonomic_profile",0.46627
"419","C0469.2E.1A_taxonomic_profile",0.48476
"420","C0494.2E.1A_taxonomic_profile",9.3454
"421","C0623.1E.1A_taxonomic_profile",1.17123
"422","C0660.1E.1A_taxonomic_profile",1.30548
"423","C0672.1E.1A_taxonomic_profile",6.01444
"424","C0673.1E.1A_taxonomic_profile",1.04902
"425","C0679.1E.1A_taxonomic_profile",0.84617
"426","C0683.1E.1A_taxonomic_profile",0.63499
"427","C0686.1E.1A_taxonomic_profile",6.33819
"428","C0688.1E.1A_taxonomic_profile",43.06165
"429","C0694.1E.1A_taxonomic_profile",1.1771
"430","C0724.1E.1A_taxonomic_profile",13.35496
"431","C0725.1E.1A_taxonomic_profile",4.32824
"432","C0730.1E.1A_taxonomic_profile",2.14064
"434","C0743.1E.1A_taxonomic_profile",1.79289
"435","C0767.1E.1A_taxonomic_profile",61.83496
"436","C0768.1E.1A_taxonomic_profile",1.94505
"437","C0784.1E.1A_taxonomic_profile",0.86373
"438","C0785.1E.1A_taxonomic_profile",0.47054
"439","C0788.1E.1A_taxonomic_profile",1.50527
"440","C0789.1E.1A_taxonomic_profile",4.55952
"441","C0799.1E.1A_taxonomic_profile",34.17137
"442","C0811.1E.1A_taxonomic_profile",4.74116
"443","C0825.1E.1A_taxonomic_profile",1.81619
"444","C0837.1E.1A_taxonomic_profile",1.3705
"445","C2002.3E.1A_taxonomic_profile",11.20457
"446","C2014.2E.1A_taxonomic_profile",28.25957
"447","C2018.3E.1A_taxonomic_profile",3.89055
"448","M0644.3E.1A_taxonomic_profile",0.41976
"449","M0647.2E.1A_taxonomic_profile",1.21019
"450","M0651.2E.1A_taxonomic_profile",1.6059
"451","M0652.3E.1A_taxonomic_profile",0.22422
